"acousticness","danceability","duration_ms","energy","explicit","instrumentalness","key","liveness","loudness","mode","popularity","release_date","speechiness","tempo","valence","year","season","pop_binary","pop_binom"
0.0942,0.795,232.072,0.578,"1",0,"1",0.0769,-5.201,"1",15,2018-08-24,0.187,92.976,0.497,"2018","Summer",0,15
0.0533,0.858,201.665,0.726,"1",0,"4",0.592,-7.026,"0",15,2018-08-24,0.263,100.016,0.505,"2018","Summer",0,15
0.106,0.875,236.278,0.833,"1",0,"10",0.0658,-4.773,"0",15,2018-08-24,0.223,102.044,0.54,"2018","Summer",0,15
0.695,0.333,198.173,0.655,"0",3.71e-05,"4",0.96,-9.603,"1",15,2019-05-03,0.0295,93.627,0.384,"2019","Spring",0,15
0.597,0.435,185.815,0.894,"0",3.95e-06,"2",0.904,-7.811,"1",15,2019-05-03,0.109,150.612,0.591,"2019","Spring",0,15
0.123,0.811,224,0.743,"1",0,"1",0.497,-6.756,"1",12,2018-08-24,0.428,94.021,0.416,"2018","Summer",0,12
0.00432,0.7,277.133,0.491,"1",0,"1",0.0916,-8.33,"1",9,2018-08-24,0.403,178.135,0.225,"2018","Summer",0,9
0.245,0.82,197.695,0.704,"1",0,"0",0.124,-4.86,"1",9,2018-08-24,0.258,98.596,0.478,"2018","Summer",0,9
0.00919,0.661,218.018,0.472,"1",0,"1",0.111,-8.594,"1",10,2018-08-24,0.381,187.489,0.402,"2018","Summer",0,10
0.385,0.319,249.944,0.802,"0",0,"1",0.753,-8.393,"1",13,2019-05-03,0.068,186.048,0.554,"2019","Spring",0,13
0.000451,0.898,163.265,0.591,"1",0,"1",0.108,-8.027,"1",9,2018-08-24,0.0645,100.037,0.598,"2018","Summer",0,9
0.00919,0.844,223.869,0.865,"1",0,"2",0.0784,-3.46,"1",9,2018-08-24,0.182,99.001,0.244,"2018","Summer",0,9
0.212,0.596,183.171,0.525,"1",0,"7",0.0954,-8.364,"1",10,2018-08-24,0.356,97.005,0.351,"2018","Summer",0,10
0.0352,0.629,268.042,0.605,"1",0,"10",0.174,-7.727,"0",9,2018-08-24,0.728,86.723,0.644,"2018","Summer",0,9
0.0643,0.471,169.273,0.868,"1",0,"1",0.0834,-3.067,"1",9,2018-08-24,0.192,99.888,0.225,"2018","Summer",0,9
0.0358,0.875,202.632,0.491,"1",2.8e-05,"1",0.111,-9.126,"1",8,2018-08-24,0.199,99.97,0.346,"2018","Summer",0,8
0.048,0.645,207.177,0.705,"1",0,"1",0.36,-7.482,"1",8,2018-08-24,0.577,95.315,0.682,"2018","Summer",0,8
0.0102,0.835,158.354,0.597,"1",0,"1",0.11,-8.003,"1",7,2018-08-24,0.252,97.954,0.35,"2018","Summer",0,7
0.163,0.768,209.789,0.83,"1",0,"1",0.292,-4.096,"1",7,2018-08-24,0.305,102.999,0.638,"2018","Summer",0,7
